mfId,name,aum,data_days,scenario_mean,scenario_min,max_drawdown,equity_beta
M_ICPPP,ICICI Pru Multi Asset Allocation Fund,87833.1,1234,0.3165563967415674,0.12616063938535596,-0.0951217161380411,0.13211343821155688
M_SBTO,SBI Multi Asset Allocation Fund,20935.04,1222,0.28670764852338027,0.1729058055657186,-0.08587171017918571,0.0874221176239884
M_NIPU,Nippon India Multi Asset Allocation Fund,17983.94,1234,0.3317919313231506,0.18319019900641934,-0.10781652372323025,0.13775758881070974
M_KOTUU,Kotak Multi Asset Allocation Fund,15282.85,727,0.27201009359987244,0.2108402493858304,-0.13788140472078314,0.1291155582478374
M_DSPUI,DSP Multi Asset Allocation Fund,10592.4,681,0.3112911481180477,0.2663010649970253,-0.09708931185944392,0.10206533122579306
M_WOMT,WOC Multi Asset Allocation Fund,8777.56,806,0.2790637759641897,0.22009358936236717,-0.06081373093782749,0.06765966007089892
M_ADYUO,Aditya Birla SL Multi Asset Allocation Fund,7618.21,891,0.2615766820432663,0.16823236848233636,-0.1283414463956407,0.13906755732744344
M_UTIMA,UTI Multi Asset Allocation Fund,7062.53,1234,0.32371993629425,0.07112022531844893,-0.11440890258175662,0.13663307306143918
M_QUNS,Quant Multi Asset Allocation Fund,6527.78,1234,0.3823413624491142,0.1787493596956703,-0.15889022486968407,0.18626578811240413
M_HDCUU,HDFC Multi Asset Allocation Fund,6031.26,1234,0.24080980285128697,0.10612690953411735,-0.08897623316324144,0.11047414722436562
M_TATI,Tata Multi Asset Allocation Fund,5241.6,1235,0.2607006763979287,0.09955389333940518,-0.10268715022958008,0.14144392373175052
M_BANHP,Bandhan Multi Asset Allocation Fund,3744.87,656,0.2534770312983828,0.19036046873288343,-0.10022232345002458,0.11713487550421237
M_MIUD,Mirae Asset Multi Asset Allocation Fund,3690.64,647,0.2276560828146537,0.18469234702319878,-0.09088981553466702,0.11287000818759968
M_SUDUO,Sundaram Multi Asset Allocation Fund,3406.52,648,0.19807263894851906,0.14410067626050477,-0.13100745621640364,0.12665891104174562
M_HSAO,HSBC Multi Asset Allocation Fund,3259.66,626,0.21871834926409317,0.14304618160111113,-0.18687175282440238,0.14577987473806855
M_EDMU,Edelweiss Multi Asset Allocation Fund,2942.66,781,0.12246254350079533,0.1093129353252266,-0.017720891824937746,0.008278847270621715
M_FRANS,Franklin India Multi Asset Allocation Fund,2912.44,275,,,-0.11547615933879152,0.10133322298187908
M_AXPU,Axis Multi Asset Allocation Fund,2611.13,1242,0.21875910604521104,0.048241012690213664,-0.17353061008076032,0.1658039002904631
M_BAJAO,Bajaj Finserv Multi Asset Allocation Fund,1943.33,563,0.18197559166228333,0.1664206992535343,-0.132116722513561,0.11824316551331013
M_BABL,Baroda BNP Paribas Multi Asset Fund,1486.46,917,0.23208800461213827,0.10338976962688896,-0.11946708342482082,0.15093464169532997
M_CAUS,Canara Rob Multi Asset Allocation Fund,1411.53,318,,,-0.10498687664041972,0.08962832755279976
M_MAAO,Mahindra Manulife Multi Asset Allocation Fund,1234.81,617,0.24881081596397067,0.20378064212280939,-0.09528049866429233,0.10434940028488603
M_INVIP,Invesco India Multi Asset Allocation Fund,1233.72,427,,,-0.10983102918586718,0.0805455760156745
M_UNUN,Union Multi Asset Allocation Fund,1020.13,495,0.2350565547674261,0.2350565547674261,-0.12422360248447262,0.11573950754040067
M_LIEG,LIC MF Multi Asset Allocation Fund,1004.98,387,,,-0.13505577930081558,0.13540417251481426
M_360P,360 ONE Multi Asset Allocation Fund,510.54,256,,,-0.0987306064880118,0.024007255100240044
M_SACM,Samco Multi Asset Allocation Fund,400.2,422,,,-0.12321562734785918,0.0038270499487301295
M_BANKD,Bank of India Multi Asset Allocation Fund,379.31,614,0.16256974482366018,0.11591638555147499,-0.09358750638957913,0.09038192085068383
M_SHRS,Shriram Multi Asset Allocation Fund,145.88,737,0.10089265439110218,0.04207872019375372,-0.153261927945472,0.15612867532658187
M_QUUC,Quantum Multi Asset Allocation Fund,59.27,620,0.12063672168877936,0.09321563292591235,-0.10485736314572103,0.09303843685561684
